-1.71211 -1.15795 1.15384 2.36718
-1.73201 -1.17155 1.12064 2.37239
-1.75081 -1.18885 1.08894 2.38002
-1.76931 -1.21035 1.05794 2.39053
-1.78841 -1.23545 1.02684 2.40399
-1.80861 -1.26255 0.995643 2.42
-1.83001 -1.28885 0.965043 2.43749
-1.85141 -1.31085 0.936643 2.45425
-1.87081 -1.32435 0.913143 2.46732
-1.88631 -1.32645 0.897143 2.47437
-1.89681 -1.31715 0.890443 2.47501
-1.90231 -1.30015 0.893143 2.47121
-1.90311 -1.28095 0.904443 2.4659
-1.89941 -1.26455 0.923443 2.46162
-1.89131 -1.25325 0.949543 2.45954
-1.87871 -1.24615 0.983843 2.45975
-1.86131 -1.23935 1.02744 2.46091
-1.83851 -1.22905 1.08104 2.46157
-1.80961 -1.21365 1.14244 2.46024
-1.77421 -1.19485 1.20624 2.45571
-1.73301 -1.17475 1.26614 2.44673
-1.68791 -1.15425 1.31734 2.43243
-1.64291 -1.13255 1.35784 2.41362
-1.60321 -1.10885 1.38694 2.39237
-1.57451 -1.08315 1.40514 2.37207
-1.56111 -1.05645 1.41394 2.35635
-1.56501 -1.02965 1.41574 2.34814
-1.58571 -1.00315 1.41464 2.34989
-1.62001 -0.97585 1.41644 2.36284
-1.66301 -0.94665 1.42734 2.38727
-1.71051 -0.91705 1.45004 2.42269
-1.75881 -0.89405 1.47964 2.46619
-1.80241 -0.89035 1.50264 2.50985
-1.83601 -0.91545 1.50574 2.54484
-1.86071 -0.96525 1.49014 2.57186
-1.88021 -1.02725 1.46684 2.59655
-1.89581 -1.09065 1.44354 2.62058
-1.90701 -1.14775 1.42344 2.64201
-1.91241 -1.19415 1.40634 2.65727
-1.91171 -1.22805 1.39084 2.66405
-1.90481 -1.25045 1.37474 2.66117
-1.89181 -1.26435 1.35534 2.64848
-1.87231 -1.27525 1.32924 2.62654
-1.84461 -1.28995 1.29194 2.59532
-1.80781 -1.31365 1.24174 2.55652
-1.76311 -1.34605 1.18384 2.51433
-1.71451 -1.38095 1.12974 2.47445
-1.66591 -1.41065 1.09064 2.44022
-1.62101 -1.42955 1.07194 2.41254
-1.58501 -1.43615 1.07254 2.39272
-1.56211 -1.43175 1.08754 2.38177
-1.55331 -1.41895 1.11034 2.37888
-1.55621 -1.40205 1.13344 2.38164
-1.56711 -1.38595 1.14964 2.38712
-1.58411 -1.37295 1.15534 2.39358
